TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
618,4.8885,4.6009,1.0021,0.8227,0.5722,10.8349,0.0000,166,False
619,4.7925,4.5481,0.8691,0.5698,0.6563,11.0343,0.0000,163,False
620,4.8382,4.6096,0.8904,-0.0425,0.8893,10.8541,0.0000,165,False
621,4.8119,4.5753,0.8884,0.2102,0.8632,11.4097,0.0000,165,False
622,4.7527,4.5293,0.8604,0.2614,0.8197,11.2189,0.0004,162,False
623,4.8392,4.5766,0.9030,0.2694,0.8619,11.4403,0.0000,163,False
624,4.8767,4.6444,0.9214,0.2872,0.8755,11.7240,0.0000,166,False
625,4.8132,4.5695,0.8828,0.5478,0.6924,11.5895,0.0000,164,False
626,4.7650,4.5291,0.8789,0.1370,0.8682,10.9889,0.0035,164,False
627,4.8175,4.5439,0.9536,0.7914,0.5321,10.4547,0.0000,164,False
628,4.8068,4.5316,0.9611,-0.2380,0.9312,10.6424,0.0000,165,False
629,4.8615,4.5971,0.7788,0.2123,0.7493,11.4949,0.0000,168,False
630,4.7702,4.5296,0.8668,0.0580,0.8649,11.4325,0.0000,164,False
631,4.7940,4.5717,0.8746,0.4632,0.7419,11.7951,0.0000,164,False
632,4.8639,4.6130,0.9082,0.6836,0.5979,11.4135,0.0000,165,False
633,4.8406,4.5814,0.9492,0.6448,0.6966,11.3508,0.0000,165,False
634,4.8027,4.5478,0.8874,0.6606,0.5926,11.7844,0.0049,164,False
635,4.8855,4.6174,0.9937,0.7675,0.6311,11.3845,0.0000,165,False
636,4.8479,4.6031,0.8985,0.2139,0.8727,12.0238,0.0000,168,False
637,4.8509,4.6014,0.9413,-0.3189,0.8857,10.5708,0.0000,166,False
638,4.8012,4.5454,0.8957,0.6912,0.5696,10.4181,0.0000,165,False
639,4.7855,4.5136,0.9362,0.7339,0.5812,10.2830,0.0091,164,False
640,4.8069,4.5491,0.8591,0.0766,0.8557,11.2354,0.0000,165,False
641,4.7625,4.5298,0.8710,0.5375,0.6853,11.6269,0.0006,163,False
642,4.7885,4.5333,0.8415,0.4276,0.7248,11.8798,0.0000,165,False
643,4.8492,4.6020,0.8600,0.6810,0.5253,11.0405,0.0000,165,False
644,4.8460,4.5864,0.9499,0.7220,0.6173,11.2377,0.0013,167,False
645,4.8288,4.5512,0.9625,-0.2436,0.9311,9.9099,0.0000,166,False
646,4.8550,4.6250,0.8913,0.1555,0.8776,11.3700,0.0000,166,False
647,4.8240,4.6045,0.8949,0.2733,0.8521,11.4038,0.0000,164,False
648,4.8425,4.6136,0.9009,0.2190,0.8738,11.6950,0.0000,165,False
649,4.8535,4.6291,0.8485,0.2968,0.7949,11.6861,0.0000,167,False
650,4.8252,4.4900,1.0782,0.9196,0.5628,11.0015,0.0000,165,False
651,4.7820,4.5411,0.8460,0.3952,0.7481,11.9542,0.0000,163,False
652,4.8211,4.5437,0.9410,0.7821,0.5233,10.5249,0.0000,164,False
653,4.8474,4.6075,0.8658,0.5646,0.6563,11.7949,0.0000,164,False
654,4.8315,4.5771,0.8565,0.2114,0.8299,11.7004,0.0000,165,False
655,4.8030,4.5497,0.8743,0.5218,0.7015,11.3672,0.0000,164,False
656,4.7845,4.5569,0.8911,0.3157,0.8333,11.8490,0.0069,164,False
657,4.8315,4.5875,0.8430,0.1229,0.8340,11.8272,0.0000,166,False
658,4.8131,4.5516,0.9034,-0.0098,0.9033,11.2688,0.0000,164,False
