TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
83245,4.8190,-0.9948,1.5569,-1.3138,-0.8354,25.4519,0.0000,49,False
83246,6.0345,-1.1896,4.6941,-2.8423,-3.7357,18.9653,0.0000,58,False
83247,5.7149,0.1149,1.0163,-0.4232,0.9240,19.1259,0.0000,52,False
83248,4.0795,-0.7617,2.1626,-2.0527,-0.6806,19.5872,0.0000,44,False
83249,4.9903,-1.4873,2.5754,-1.7873,1.8542,22.0709,0.0000,49,False
83250,5.4241,2.1439,3.0357,-2.1239,-2.1689,23.6624,0.0000,54,False
83251,5.0065,-0.1526,1.2579,-1.0070,0.7538,21.2521,0.0000,51,False
83252,4.5509,0.8224,1.9132,-1.8523,-0.4789,26.4715,0.0000,52,False
83253,2.0073,0.0284,5.0890,-4.9999,-0.9484,10.9977,6.5766,23,True
83254,4.0052,1.7653,2.0441,-2.0309,0.2320,16.3907,0.0000,48,False
83255,5.3631,1.0094,2.3025,-0.8497,-2.1400,22.4966,0.0000,48,False
83256,5.3211,-0.3462,1.6578,-0.9084,1.3867,20.8830,0.0000,50,False
83257,5.0381,-0.7651,0.7662,-0.6157,0.4560,20.8145,0.0000,54,False
83258,4.8637,-1.0117,1.4708,-0.7484,1.2662,19.5624,0.0000,49,False
83259,4.1420,-0.1848,2.6165,-1.9443,-1.7510,20.7162,0.0000,51,False
83260,4.2601,-1.7443,1.8552,-1.8476,0.1684,22.1993,0.0000,46,False
83261,5.3576,-1.3107,0.7364,-0.2440,-0.6948,18.8513,0.0000,51,False
83262,5.7552,0.4399,2.8336,-1.2128,-2.5610,26.3968,0.0000,54,False
83263,4.4114,-0.4166,1.1448,-1.0834,0.3699,20.0693,0.0000,48,False
83264,4.7523,-0.6395,3.3525,-2.3018,2.4374,23.7080,0.0000,49,False
83265,5.5067,0.3051,1.8141,-0.3932,-1.7710,20.2903,0.0000,56,False
83266,5.4906,-0.9803,1.3636,-0.7041,-1.1677,20.5743,0.0000,51,False
83267,5.0002,1.1282,1.2082,-0.8137,0.8931,27.9362,0.0000,51,False
83268,1.6449,-1.1637,5.0311,-5.0000,-0.5586,7.9841,7.2043,29,True
83269,4.9945,1.6234,0.7806,-0.7712,-0.1210,17.4109,0.0000,48,False
83270,5.2065,-0.0265,0.9066,-0.5774,0.6990,20.5623,0.0000,47,False
83271,4.3187,-0.2902,1.5586,-1.3554,-0.7695,26.7150,0.0000,51,False
83272,3.0408,0.3106,2.4488,-2.3493,-0.6912,22.7306,0.0000,39,False
83273,5.3167,-0.7650,1.7228,-0.7981,1.5268,17.8986,0.0000,44,False
83274,5.0183,0.7982,0.8845,-0.7519,-0.4658,23.2914,0.0000,48,False
83275,5.0426,-1.7024,1.6107,-1.1466,-1.1313,23.6232,0.0000,52,False
83276,4.8083,-0.8781,1.2113,-1.0780,-0.5524,25.4767,0.0000,48,False
83277,5.5822,1.7467,0.5513,-0.1792,-0.5213,19.1612,0.0000,48,False
83278,3.5631,-0.8204,2.0845,-2.0574,-0.3350,23.0348,0.0000,49,False
83279,3.9742,0.2952,2.3560,-1.7716,1.5531,22.4392,0.0000,47,False
83280,5.0647,0.0649,1.3323,-1.3264,0.1253,18.5193,0.0000,53,False
83281,5.0628,-0.7147,1.1553,-1.1429,-0.1685,18.8390,0.0000,54,False
83282,4.9058,-0.4573,0.8525,-0.6304,-0.5739,23.9981,0.0000,49,False
83283,5.4856,-1.1272,0.4507,-0.0104,-0.4506,19.5446,0.0000,51,False
83284,4.4149,-1.1096,2.5433,-2.3120,1.0598,20.4448,0.0000,52,False
83285,5.1421,-1.7399,2.5286,-1.5833,-1.9715,21.0353,0.0000,51,False
83286,5.5758,-1.9185,1.5234,-1.0170,-1.1342,20.0167,0.0000,53,False
83287,4.7401,-0.4062,1.5024,-0.8503,-1.2387,16.0237,0.0000,49,False
83288,5.4783,0.2657,0.8416,-0.3871,0.7473,24.2143,0.0000,55,False
83289,4.6809,-1.2364,1.7802,-1.7533,0.3086,23.3715,0.0000,51,False
83290,5.3106,-1.0173,2.0002,-0.5555,1.9215,24.3963,0.0000,51,False
83291,4.7990,0.0233,3.2958,-2.2951,-2.3654,19.2184,0.0000,45,False
83292,4.5956,0.1583,2.9671,-1.7830,2.3716,21.2150,0.0000,49,False
83293,5.0535,1.2370,5.6988,-4.7103,-3.2077,16.8572,0.0000,57,False
83294,4.9115,0.7064,1.1239,-1.0554,-0.3863,22.5937,0.0000,52,False
83295,5.6799,1.8133,0.5089,-0.3194,0.3961,21.5996,0.0000,55,False
83296,5.4058,-1.0945,1.4001,-0.9851,-0.9950,23.0669,0.0000,48,False
83297,4.9157,-0.4728,1.5692,-1.5167,-0.4027,25.6209,0.0000,47,False
83298,4.7810,0.3759,2.2973,-1.1983,-1.9600,18.7218,0.0000,52,False
83299,4.4243,0.3380,2.4143,-1.9234,-1.4591,19.5422,0.0000,46,False
83300,5.1495,-0.9544,1.8947,-1.1690,-1.4910,21.9144,0.0000,50,False
83301,5.3171,-0.4560,0.7410,-0.2054,-0.7120,18.3631,0.0000,49,False
83302,5.3211,-1.1215,1.7201,-1.5545,0.7363,22.1436,0.0000,50,False
83303,5.5792,3.5984,2.3795,-2.3700,0.2127,21.6935,0.0000,52,False
83304,4.9111,-0.7156,2.8486,-2.3974,1.5385,24.0059,0.0000,52,False
83305,4.1941,-0.0939,1.3312,-1.1293,-0.7050,19.8220,0.0000,50,False
83306,5.5865,-1.6094,1.2377,-1.1519,-0.4530,23.7663,0.0000,54,False
83307,4.0311,0.2472,2.2819,-1.7151,1.5052,24.2508,0.0000,52,False
83308,5.8352,1.5951,0.8568,-0.6475,0.5612,19.4909,0.0000,54,False
83309,5.4704,-1.5259,2.8682,-1.4656,2.4655,22.7041,0.0000,56,False
83310,4.5894,-1.4934,1.9790,-1.5199,-1.2674,17.6175,0.0000,54,False
83311,4.7295,-1.0439,1.0461,-0.8833,-0.5604,18.6586,0.0000,50,False
83312,4.9206,0.3275,0.4898,-0.4461,0.2023,17.4188,0.0000,48,False
83313,3.0177,0.0564,2.6322,-2.5489,0.6570,23.4776,0.0000,47,False
83314,3.4661,-0.1880,2.1293,-2.0355,-0.6249,28.0501,0.0000,48,False
83315,4.6132,-0.0632,2.1411,-1.8140,-1.1373,22.1642,0.0000,53,False
83316,4.6481,1.2750,1.5718,-1.3023,0.8802,16.6705,0.0000,47,False
83317,4.7217,-2.0297,1.4680,-1.3922,-0.4657,16.8315,0.0000,46,False
83318,4.0956,-0.4220,1.9665,-1.9483,0.2671,24.3467,0.0000,50,False
83319,4.5958,0.6264,3.5503,-2.7074,2.2967,19.6829,0.0000,47,False
83320,5.9640,0.7623,0.7551,0.3260,-0.6811,24.1758,0.0000,57,False
83321,5.6157,-0.4186,2.5523,-1.1993,2.2529,21.4778,0.0000,56,False
83322,4.0794,-0.0092,1.3190,-1.1592,0.6293,18.5908,0.0000,52,False
83323,4.8726,0.2074,1.1164,-0.7859,0.7930,24.2183,0.0000,53,False
83324,4.3698,0.6625,1.6645,-1.6603,-0.1182,23.6936,0.0000,61,False
83325,4.4896,-2.0571,1.7828,-1.7827,-0.0191,22.4868,0.0000,48,False
83326,5.1806,-1.1047,2.5680,-1.3817,2.1646,20.4906,0.0000,48,False
83327,4.6678,-0.5729,1.3789,-1.1567,0.7506,21.5094,0.0000,52,False
83328,4.6853,-1.2465,1.4244,-1.3944,-0.2907,25.3065,0.0000,52,False
83329,3.3376,-0.0366,2.3408,-2.1900,-0.8268,17.8271,0.0000,50,False
83330,5.1447,-0.8350,1.0163,-0.9109,-0.4508,21.2811,0.0000,54,False
83331,4.2247,0.1200,1.6373,-1.2903,-1.0079,21.0551,0.0000,45,False
83332,3.9471,0.6417,2.0580,-2.0066,-0.4570,24.6806,0.0000,49,False
83333,3.6843,0.1170,2.0659,-1.8792,0.8583,20.3118,0.0000,51,False
83334,5.1100,0.1862,0.9669,-0.3869,-0.8861,26.3322,0.0000,49,False
83335,5.5352,-1.3655,1.7915,-0.2812,1.7693,22.7311,0.0000,51,False
83336,5.7862,0.3476,0.1385,0.0589,0.1254,21.5007,0.0000,47,False
