TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
888,4.8234,4.2432,1.2566,0.5277,-1.1404,9.6639,0.0031,233,False
889,4.8657,4.3706,0.8394,0.3313,-0.7713,9.7064,0.0000,243,False
890,4.7917,4.3585,1.0490,0.7833,-0.6977,10.1251,0.0000,236,False
891,4.8355,4.4102,1.3315,0.5284,-1.2222,10.0044,0.0000,230,False
892,4.8130,4.4118,0.6860,0.0815,-0.6811,10.0446,0.0016,238,False
893,4.7954,4.1196,1.1219,0.6224,-0.9334,9.9673,0.0000,231,False
894,4.7905,4.1899,1.6710,0.9676,-1.3624,9.3102,0.0000,229,False
895,4.7676,4.3307,0.8782,0.1595,-0.8636,10.1508,0.0000,230,False
896,4.8153,4.4319,1.0916,0.2245,-1.0683,10.2509,0.0000,236,False
897,4.8383,4.4002,1.2582,-0.0979,-1.2544,9.6217,0.0000,236,False
898,4.7898,4.2818,1.2092,0.1578,-1.1988,9.4142,0.0000,232,False
899,4.8088,4.2851,1.2244,0.4612,-1.1343,9.6881,0.0045,232,False
900,4.8279,4.2790,0.4683,-0.0532,-0.4653,10.0889,0.0000,243,False
901,4.7853,4.1351,1.3361,0.3396,-1.2922,9.9868,0.0082,227,False
902,4.7846,4.5037,0.8405,0.0761,-0.8371,9.8969,0.0050,233,False
903,4.8396,4.1794,1.8533,0.6215,-1.7459,9.3492,0.0000,225,False
904,4.8335,4.4851,0.6983,0.1725,-0.6767,10.0803,0.0000,237,False
905,4.8188,4.2897,1.1417,0.5752,-0.9862,9.6761,0.0092,239,False
906,4.8614,4.4328,1.2031,0.5150,-1.0873,10.0142,0.0000,234,False
907,4.8111,4.3234,0.7998,0.1788,-0.7795,10.2535,0.0000,237,False
908,4.7853,4.4295,1.0663,0.1258,-1.0588,9.8164,0.0000,232,False
909,4.8300,4.3109,1.4100,0.1803,-1.3985,9.5743,0.0000,230,False
910,4.7957,4.3416,1.2532,0.0291,-1.2529,10.1627,0.0025,235,False
911,4.8244,4.3044,1.4759,0.4618,-1.4018,10.1442,0.0000,231,False
912,4.7646,4.3795,0.9163,0.4619,-0.7914,10.2169,0.0048,236,False
913,4.8057,4.3340,1.2369,1.0733,-0.6148,9.6397,0.0000,233,False
914,4.7867,4.3899,0.9463,0.2109,-0.9225,9.6506,0.0044,234,False
915,4.7778,4.3373,1.2251,0.8445,-0.8876,9.3705,0.0092,234,False
916,4.8063,4.2811,0.6540,-0.2262,-0.6136,10.5895,0.0000,235,False
917,4.8487,4.3982,1.1527,0.5358,-1.0206,10.0741,0.0000,238,False
918,4.8012,4.4097,0.9795,0.7816,-0.5904,10.4780,0.0000,235,False
919,4.8519,4.5175,0.6185,0.5368,-0.3073,9.7447,0.0000,242,False
920,4.8050,4.4805,1.1369,0.4975,-1.0222,9.5827,0.0000,226,False
921,4.8537,4.4320,1.0761,0.6826,-0.8319,9.3146,0.0059,233,False
922,4.8343,4.3846,1.3131,0.2027,-1.2974,9.8500,0.0000,231,False
923,4.7783,4.3201,1.1829,0.7231,-0.9362,9.7774,0.0000,226,False
924,4.8577,4.3847,1.3965,0.2698,-1.3702,9.7783,0.0000,229,False
925,4.8092,4.3901,1.2768,0.7132,-1.0591,10.0633,0.0098,228,False
926,4.8169,4.1927,1.2590,-0.0951,-1.2554,9.7508,0.0000,235,False
927,4.8255,4.4050,0.8117,0.1785,-0.7919,10.2960,0.0000,238,False
928,4.8175,4.3480,1.5217,1.0024,-1.1449,9.9208,0.0020,230,False
929,4.7473,4.4243,0.9957,0.5535,-0.8277,9.7036,0.0020,228,False
930,4.8132,4.3705,1.0382,-0.0603,-1.0364,9.8426,0.0013,236,False
931,4.8310,4.4523,0.4936,0.0429,-0.4918,10.1885,0.0000,238,False
932,4.7611,4.2941,1.0699,-0.4663,-0.9629,10.4303,0.0000,235,False
933,4.8231,4.3484,1.1838,0.3981,-1.1148,9.6002,0.0010,235,False
934,4.8574,4.5266,0.9492,0.2453,-0.9170,9.1159,0.0000,237,False
935,4.8190,4.3258,1.3669,0.7041,-1.1716,9.5151,0.0038,234,False
936,4.8548,4.3938,0.5400,0.4425,-0.3096,10.4230,0.0000,245,False
937,4.8400,4.4139,1.0563,0.5800,-0.8828,9.5961,0.0000,233,False
938,4.7927,4.2272,1.3453,0.8630,-1.0321,9.8607,0.0000,233,False
939,4.8086,4.4585,0.6617,-0.1597,-0.6422,9.9519,0.0000,236,False
940,4.8476,4.3151,1.5547,0.6017,-1.4335,9.9702,0.0008,232,False
941,4.8201,4.4236,1.3434,0.9183,-0.9805,10.0220,0.0000,229,False
942,4.8432,4.3703,1.2031,0.5700,-1.0595,10.2643,0.0000,236,False
943,4.7641,4.3978,0.9814,0.5853,-0.7877,9.5133,0.0000,230,False
944,4.8244,4.5286,0.8087,0.0888,-0.8038,9.9383,0.0000,234,False
945,4.8027,4.3118,1.4859,1.1205,-0.9759,9.8407,0.0000,229,False
946,4.8059,4.2935,1.1710,0.4367,-1.0866,10.0622,0.0026,233,False
947,4.8492,4.4525,0.9985,0.5855,-0.8088,10.0121,0.0000,240,False
948,4.8360,4.4568,0.8721,0.2895,-0.8227,10.2276,0.0059,233,False
949,4.8077,4.3912,1.0645,0.6204,-0.8651,9.5893,0.0051,235,False
950,4.8275,4.4810,0.9117,-0.2443,-0.8784,9.7744,0.0094,232,False
951,4.8021,4.3170,1.0420,0.0716,-1.0395,9.8655,0.0000,228,False
952,4.7981,4.3732,1.2032,0.2823,-1.1696,9.6637,0.0092,236,False
953,4.8212,4.3355,1.4072,0.5404,-1.2993,9.8301,0.0000,229,False
954,4.8239,4.4431,0.6086,0.2477,-0.5559,10.1514,0.0000,229,False
955,4.8161,4.3157,1.2958,0.5028,-1.1943,9.9167,0.0000,230,False
956,4.8076,4.1948,1.5598,0.8014,-1.3382,9.8951,0.0000,232,False
957,4.8285,4.2699,0.9447,0.3037,-0.8945,10.7764,0.0075,239,False
958,4.8422,4.4505,0.8960,0.7418,-0.5026,9.9283,0.0000,238,False
959,4.8047,4.3644,0.8103,-0.1757,-0.7910,9.9650,0.0000,236,False
960,4.7936,4.1837,1.0934,-0.1166,-1.0872,10.0980,0.0000,232,False
961,4.8395,4.3246,1.0145,0.6096,-0.8109,10.7872,0.0000,236,False
962,4.8291,4.5208,0.5599,0.0996,-0.5509,10.3028,0.0000,240,False
963,4.8156,4.4550,0.8422,0.2909,-0.7904,10.7126,0.0000,237,False
964,4.8191,4.3974,0.9673,0.6483,-0.7179,9.8329,0.0000,235,False
965,4.7994,4.2881,1.4001,0.6523,-1.2389,9.9404,0.0000,225,False
966,4.8218,4.2978,1.4667,1.3295,-0.6192,8.8605,0.0000,230,False
967,4.8134,4.4635,0.6905,0.1357,-0.6770,10.4492,0.0000,232,False
968,4.8383,4.4437,0.6834,0.4109,-0.5461,10.0488,0.0000,243,False
969,4.7586,4.3521,0.8451,0.7449,-0.3993,9.6942,0.0000,232,False
970,4.8335,4.4047,1.1515,0.6439,-0.9546,10.2364,0.0000,235,False
971,4.8166,4.1905,1.1577,-0.2004,-1.1402,10.2957,0.0000,236,False
972,4.8373,4.3883,1.3061,0.5969,-1.1617,9.4296,0.0000,234,False
973,4.8266,4.3487,1.3672,1.0530,-0.8720,9.9219,0.0000,235,False
974,4.8037,4.3318,0.4148,-0.0576,-0.4108,9.7838,0.0078,241,False
975,4.8058,4.4830,0.7611,0.6928,-0.3151,10.1291,0.0000,228,False
976,4.8486,4.3253,1.4519,0.2898,-1.4226,8.7259,0.0000,230,False
977,4.7985,4.4606,0.5765,0.2979,-0.4935,10.0178,0.0000,236,False
978,4.8031,4.2895,1.3683,1.1336,-0.7664,9.7543,0.0000,233,False
979,4.8187,4.3674,1.2712,0.3427,-1.2242,9.7721,0.0000,231,False
980,4.8236,4.4434,0.9283,0.6138,-0.6965,10.2079,0.0000,240,False
981,4.8218,4.3388,1.2630,0.4972,-1.1610,9.0204,0.0000,229,False
982,4.8439,4.5488,0.6193,0.4096,-0.4645,9.6195,0.0000,237,False
983,4.8541,4.4067,1.1925,0.5097,-1.0780,10.1187,0.0000,235,False
984,4.7877,4.2229,1.2581,0.9094,-0.8694,9.9422,0.0000,230,False
985,4.7872,4.3485,1.2778,0.6239,-1.1152,10.2288,0.0000,235,False
986,4.8076,4.3988,1.1704,0.1865,-1.1555,9.9851,0.0058,235,False
987,4.8035,4.4504,0.4093,0.4067,-0.0467,10.6253,0.0000,243,False
988,4.8299,4.4039,1.2533,0.2039,-1.2366,10.0281,0.0000,238,False
989,4.7751,4.3940,0.7404,0.5376,-0.5091,10.1774,0.0014,236,False
990,4.7869,4.4149,0.7966,-0.0282,-0.7961,10.0644,0.0000,238,False
991,4.8287,4.4898,0.8575,-0.0300,-0.8570,10.0463,0.0000,233,False
992,4.8342,4.4442,1.2347,0.5874,-1.0860,9.8919,0.0000,229,False
993,4.8882,4.3507,1.3002,0.2229,-1.2809,10.4540,0.0000,235,False
994,4.8109,4.2798,1.3327,0.9885,-0.8939,9.8432,0.0000,233,False
995,4.8091,4.4583,0.8561,0.4356,-0.7369,9.7294,0.0000,232,False
996,4.8113,4.3128,1.2855,0.8858,-0.9315,9.8903,0.0000,228,False
997,4.8340,4.4055,0.7366,0.1555,-0.7200,10.0326,0.0000,235,False
998,4.8248,4.3050,1.2168,0.0484,-1.2159,9.9591,0.0000,235,False
999,4.8619,4.5447,0.9477,0.6681,-0.6721,9.4263,0.0000,237,False
